condition,source_stem,style,source_file,audio_file,style_strength,predicted,target,match,score,emo_sim,novelty_gain_vs_baseline,wer,mos,mos_delta_vs_baseline
legacy_combined,cremad_1023,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_confused.wav,5.0,sad,,,0.9987,0.9074,0.5779,0.4286,3.9410,-0.0207
current_reference_guard,cremad_1023,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_confused.wav,4.0,sad,,,0.6247,0.9385,0.2853,0.3571,3.9729,+0.0288
legacy_combined,cremad_1023,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_disgust.wav,5.0,neutral,disgusted,0,0.9628,0.9576,0.1811,0.4286,3.9127,-0.0490
current_reference_guard,cremad_1023,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_disgust.wav,5.0,neutral,disgusted,0,0.9346,0.9599,0.1672,0.2143,3.9591,+0.0150
legacy_combined,cremad_1023,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_enunciated.wav,5.0,sad,,,0.9623,0.9322,0.4653,0.2143,3.8842,-0.0775
current_reference_guard,cremad_1023,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_enunciated.wav,2.5,neutral,,,0.9998,0.9865,0.1104,0.2143,3.6345,-0.3096
legacy_combined,cremad_1023,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_fear.wav,5.0,sad,fearful,0,0.9993,0.8934,0.1489,0.2857,3.9772,+0.0155
current_reference_guard,cremad_1023,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_fear.wav,5.0,fearful,fearful,1,0.5393,0.8323,0.3025,0.3571,3.9626,+0.0185
legacy_combined,cremad_1023,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_happy.wav,5.0,neutral,happy,0,0.6525,0.9300,0.1208,0.0000,3.9755,+0.0138
current_reference_guard,cremad_1023,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_happy.wav,5.0,sad,happy,0,0.9716,0.9008,0.1090,0.4286,3.9268,-0.0173
legacy_combined,cremad_1023,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_neutral.wav,5.0,neutral,neutral,1,0.9893,0.9712,0.1005,0.4286,3.9468,-0.0149
current_reference_guard,cremad_1023,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_neutral.wav,5.0,neutral,neutral,1,0.9967,0.9805,0.1507,0.0000,3.7569,-0.1872
legacy_combined,cremad_1023,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_sad.wav,5.0,sad,sad,1,0.9807,0.9309,0.1534,0.4286,3.9482,-0.0135
current_reference_guard,cremad_1023,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_sad.wav,3.5,sad,sad,1,0.7444,0.9364,0.0760,0.1429,3.9067,-0.0374
legacy_combined,cremad_1023,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_whisper.wav,5.0,neutral,,,0.3375,0.8804,0.7922,0.6429,3.9264,-0.0353
current_reference_guard,cremad_1023,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_whisper.wav,5.0,fearful,,,0.9406,0.7969,0.6451,0.6429,3.9732,+0.0291
legacy_combined,cremad_1045,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_anger.wav,5.0,neutral,angry,0,0.5775,0.9415,0.1347,0.1429,3.9746,+0.0176
current_reference_guard,cremad_1045,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_anger.wav,5.0,neutral,angry,0,0.9845,0.9869,0.3009,0.1429,3.9625,+0.0316
legacy_combined,cremad_1045,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_baseline.wav,0.0,neutral,,,0.9999,,0.0000,0.0000,3.9570,
current_reference_guard,cremad_1045,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9309,
legacy_combined,cremad_1045,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_confused.wav,5.0,sad,,,0.9881,0.9529,0.5272,0.3571,3.8633,-0.0937
current_reference_guard,cremad_1045,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_confused.wav,4.0,sad,,,0.9458,0.9541,0.3157,0.5000,3.5625,-0.3684
legacy_combined,cremad_1045,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_disgust.wav,5.0,neutral,disgusted,0,0.9957,0.9863,0.0745,0.2857,3.8827,-0.0743
current_reference_guard,cremad_1045,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_disgust.wav,5.0,neutral,disgusted,0,0.8350,0.9757,0.1245,0.1429,3.9707,+0.0398
legacy_combined,cremad_1045,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_enunciated.wav,5.0,neutral,,,0.8825,0.9821,0.4539,0.5714,3.8090,-0.1480
current_reference_guard,cremad_1045,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_enunciated.wav,2.5,neutral,,,0.9980,0.9939,0.1133,0.3571,3.6085,-0.3224
legacy_combined,cremad_1045,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_fear.wav,5.0,sad,fearful,0,0.8036,0.9638,0.0943,0.2857,3.9732,+0.0162
current_reference_guard,cremad_1045,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_fear.wav,5.0,sad,fearful,0,0.9789,0.9422,0.3562,0.5000,3.9539,+0.0230
legacy_combined,cremad_1045,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_happy.wav,5.0,neutral,happy,0,0.9651,0.9846,0.0503,0.1429,3.9723,+0.0153
current_reference_guard,cremad_1045,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_happy.wav,5.0,sad,happy,0,0.9677,0.9354,0.1532,0.5000,3.9247,-0.0062
legacy_combined,cremad_1045,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_neutral.wav,5.0,neutral,neutral,1,0.8808,0.9844,0.0337,0.1429,3.9358,-0.0212
current_reference_guard,cremad_1045,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_neutral.wav,5.0,neutral,neutral,1,0.9955,0.9893,0.1733,0.0714,3.7868,-0.1441
legacy_combined,cremad_1045,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_sad.wav,5.0,neutral,sad,0,0.8840,0.9818,0.0552,0.0000,3.9231,-0.0339
current_reference_guard,cremad_1045,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_sad.wav,3.5,sad,sad,1,0.9884,0.9434,0.0900,0.1429,3.9145,-0.0164
legacy_combined,cremad_1045,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1045_whisper.wav,5.0,disgusted,,,0.4824,0.9487,0.7032,0.2143,3.8415,-0.1155
current_reference_guard,cremad_1045,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1045.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_whisper.wav,5.0,sad,,,0.9983,0.8677,0.6463,0.1429,3.9643,+0.0334
legacy_combined,cremad_1076,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_anger.wav,5.0,neutral,angry,0,0.8695,0.8817,0.1166,0.0000,3.8988,-0.0267
current_reference_guard,cremad_1076,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_anger.wav,5.0,neutral,angry,0,0.9981,0.9740,0.2971,0.0000,3.9360,+0.0197
legacy_combined,cremad_1076,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9255,
current_reference_guard,cremad_1076,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9163,
legacy_combined,cremad_1076,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_confused.wav,5.0,neutral,,,0.9999,0.9762,0.5025,0.4286,3.9398,+0.0143
current_reference_guard,cremad_1076,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_confused.wav,4.0,neutral,,,1.0000,0.9912,0.3132,0.0000,3.8487,-0.0676
legacy_combined,cremad_1076,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_disgust.wav,5.0,neutral,disgusted,0,0.9919,0.9390,0.0927,0.0000,3.9115,-0.0140
current_reference_guard,cremad_1076,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_disgust.wav,5.0,neutral,disgusted,0,1.0000,0.9877,0.2780,0.0000,3.9660,+0.0497
legacy_combined,cremad_1076,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_enunciated.wav,5.0,neutral,,,0.7539,0.9246,0.5125,0.4286,3.9670,+0.0415
current_reference_guard,cremad_1076,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_enunciated.wav,2.5,neutral,,,1.0000,0.9963,0.2364,0.0000,3.6342,-0.2821
legacy_combined,cremad_1076,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_fear.wav,5.0,neutral,fearful,0,1.0000,0.9755,0.0442,0.0000,3.9727,+0.0472
current_reference_guard,cremad_1076,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_fear.wav,5.0,fearful,fearful,1,0.4921,0.9024,0.2933,0.0000,3.8931,-0.0232
legacy_combined,cremad_1076,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_happy.wav,5.0,neutral,happy,0,0.9929,0.9566,0.0895,0.0000,3.9705,+0.0450
current_reference_guard,cremad_1076,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_happy.wav,5.0,neutral,happy,0,0.6800,0.8979,0.1047,0.0000,3.9090,-0.0073
legacy_combined,cremad_1076,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_neutral.wav,5.0,neutral,neutral,1,1.0000,0.9948,0.1090,0.0000,3.9486,+0.0231
current_reference_guard,cremad_1076,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_neutral.wav,5.0,neutral,neutral,1,0.9960,0.9564,0.2381,0.0000,3.9400,+0.0237
legacy_combined,cremad_1076,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_sad.wav,5.0,neutral,sad,0,1.0000,0.9830,0.0268,0.0000,3.9435,+0.0180
current_reference_guard,cremad_1076,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_sad.wav,3.5,sad,sad,1,0.9428,0.8981,0.0765,0.7143,3.9038,-0.0125
legacy_combined,cremad_1076,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1076_whisper.wav,5.0,disgusted,,,0.5172,0.8545,0.6081,0.4286,3.9038,-0.0217
current_reference_guard,cremad_1076,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1076.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_whisper.wav,5.0,disgusted,,,0.9547,0.8082,0.6826,0.0000,3.9006,-0.0157
legacy_combined,female_1_cremad_1002,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_anger.wav,5.0,neutral,angry,0,0.9994,0.9602,0.2074,0.0000,3.9614,+0.0315
current_reference_guard,female_1_cremad_1002,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_anger.wav,5.0,fearful,angry,0,0.6471,0.9757,0.2090,0.0000,3.9446,-0.0247
legacy_combined,female_1_cremad_1002,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_baseline.wav,0.0,neutral,,,0.9927,,0.0000,0.0000,3.9299,
current_reference_guard,female_1_cremad_1002,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_baseline.wav,0.0,neutral,,,0.9943,,0.0000,0.0000,3.9693,
legacy_combined,female_1_cremad_1002,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_confused.wav,5.0,sad,,,0.9997,0.9375,0.5079,0.2500,3.7547,-0.1752
current_reference_guard,female_1_cremad_1002,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_confused.wav,4.0,sad,,,0.9709,0.9658,0.2792,0.2500,3.5703,-0.3990
legacy_combined,female_1_cremad_1002,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_disgust.wav,5.0,neutral,disgusted,0,0.9986,0.9845,0.0997,0.0000,3.9284,-0.0015
current_reference_guard,female_1_cremad_1002,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_disgust.wav,5.0,neutral,disgusted,0,0.9998,0.9860,0.2858,0.0000,3.9805,+0.0112
legacy_combined,female_1_cremad_1002,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_enunciated.wav,5.0,sad,,,0.9990,0.9464,0.3758,0.2500,3.9473,+0.0174
current_reference_guard,female_1_cremad_1002,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_enunciated.wav,2.5,neutral,,,1.0000,0.9613,0.1694,0.0000,3.5954,-0.3739
legacy_combined,female_1_cremad_1002,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_fear.wav,5.0,sad,fearful,0,0.6520,0.9688,0.0684,0.2500,3.9714,+0.0415
current_reference_guard,female_1_cremad_1002,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_fear.wav,5.0,sad,fearful,0,0.5557,0.9641,0.2735,0.5000,3.1053,-0.8640
legacy_combined,female_1_cremad_1002,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_happy.wav,5.0,sad,happy,0,0.9966,0.9495,0.0412,0.2500,3.9480,+0.0181
current_reference_guard,female_1_cremad_1002,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_happy.wav,5.0,sad,happy,0,0.6697,0.9410,0.1243,0.7500,3.9551,-0.0142
legacy_combined,female_1_cremad_1002,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_neutral.wav,5.0,sad,neutral,0,0.5665,0.9818,0.1412,0.0000,3.9320,+0.0021
current_reference_guard,female_1_cremad_1002,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_neutral.wav,5.0,neutral,neutral,1,0.9578,0.9878,0.2690,0.0000,3.9176,-0.0517
legacy_combined,female_1_cremad_1002,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_sad.wav,5.0,sad,sad,1,0.9934,0.9286,0.0916,0.7500,3.9630,+0.0331
current_reference_guard,female_1_cremad_1002,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_sad.wav,3.5,sad,sad,1,0.9977,0.9586,0.0515,0.7500,3.9417,-0.0276
legacy_combined,female_1_cremad_1002,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_1_cremad_1002_whisper.wav,5.0,sad,,,0.9122,0.9600,0.5772,0.0000,3.5991,-0.3308
current_reference_guard,female_1_cremad_1002,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_1_cremad_1002.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_whisper.wav,5.0,fearful,,,1.0000,0.3211,0.5868,0.7500,3.8682,-0.1011
legacy_combined,female_2_cremad_1012,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_2_cremad_1012.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_2_cremad_1012_anger.wav,5.0,angry,angry,1,0.9122,0.9107,0.1411,0.2000,3.6325,-0.3153
current_reference_guard,female_2_cremad_1012,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_2_cremad_1012.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_anger.wav,5.0,neutral,angry,0,0.6779,0.9739,0.2978,0.2000,3.9415,+0.0660
legacy_combined,female_2_cremad_1012,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_2_cremad_1012.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_2_cremad_1012_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9478,
current_reference_guard,female_2_cremad_1012,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_2_cremad_1012.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.8755,
legacy_combined,female_2_cremad_1012,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_2_cremad_1012.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_2_cremad_1012_confused.wav,5.0,neutral,,,0.6994,0.9494,0.5575,0.8000,3.4015,-0.5463
current_reference_guard,female_2_cremad_1012,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_2_cremad_1012.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_confused.wav,4.0,neutral,,,0.9998,0.9839,0.2861,0.2000,2.3316,-1.5439
legacy_combined,female_2_cremad_1012,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/female_2_cremad_1012.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/female_2_cremad_1012_disgust.wav,5.0,neutral,disgusted,0,0.5503,0.9571,0.1186,0.2000,3.9244,-0.0234
